"Enter the maximum number of times this coupon can be used by members. (Leave empty or Enter 0 for unlimited. Note: You will not be able to edit this filed once this coupon expires.)";"Enter the maximum number of times this coupon can be used by members. (Leave empty or Enter 0 for unlimited. Note: You will not be able to edit this filed once this coupon expires.)"
"Enter the maximum number of times the coupon can be used by a single user. (Leave empty or Enter 0 for unlimited. Note: You will not be able to edit this field once this coupon expires.)";"Enter the maximum number of times the coupon can be used by a single user. (Leave empty or Enter 0 for unlimited. Note: You will not be able to edit this field once this coupon expires.)"
"Enable this Coupon";"Enable this Coupon"
"Enable Coupon ";"Enable Coupon "
"Disable Coupon ";"Disable Coupon "
"Please enter a different coupon code as %s is either invalid or expired";"Please enter a different coupon code as %s is either invalid or expired"
"Add Coupon";"Add Coupon"
"%1$s coupon left";"%1$s coupon left";"%1$s coupons left"
"Coupon Title";"Coupon Title"
"Please enter your coupon URL here.";"Please enter your coupon URL here."
"Discount Type";"Discount Type"
"Fixed";"Fixed"
"Percentage";"Percentage"
"Discount Rate (%)";"Discount Rate (%)"
"Discount (%s)";"Discount (%s)"
"Minimum Purchase Amount (%s)";"Minimum Purchase Amount (%s)"
"Minimum Product Quantity";"Minimum Product Quantity"
"Select Products";"Select Products"
"Enter the name of products in the auto-suggest box below.";"Enter the name of products in the auto-suggest box below."
"Start Date";"Start Date"
"End Date";"End Date"
"Uses Per Buyer";"Uses Per Buyer"
"Want to make it as Public";"Want to make it as Public"
"Preview";"Preview"
"cancel";"cancel"
"ACTIVITY_CATEGORY_TYPE_SITESTOREOFFER";"Showrooms / Ecommerce"
