"Visit your Insights Store";"Visit your Insights Showroom"
"_EMAIL_DISPUTE_EMAIL_BODY";"[header]


Your request for dispute this Showroom [Showroomtitle] has been [Showroomstatus].

[comments]

[footer]
"
"_EMAIL_SITESTORE_TELLAFRIEND_EMAIL_TITLE";"Showroom Tell a Friend Email"
"_EMAIL_SITESTORE_TELLAFRIEND_EMAIL_DESCRIPTION";"This is the email that gets sent to friends when a user wants to tell them about a Showroom."
"_EMAIL_SITESTORE_TELLAFRIEND_EMAIL_SUBJECT";"[sender_name] wants you to visit this Showroom"
"_EMAIL_SITESTORE_TELLAFRIEND_EMAIL_BODY";"[header]

Your friend [sender_name] with email id: [sender_email] wants you to look at the Showroom: [store_title].

To view and explore this Showroom, click on the link below, or copy-paste it in your browser:
[object_link]

Your friend has also sent a message:

[message]

[footer]"
"SITSTORE_VIEWS_ADMIN_PACKAGES_INDEX_DESCRIPTION";"Browse and manage Showroom packages."
"_EMAIL_SITESTORE_STORE_ACTIVE_TITLE";"Showroom Activated"
"_EMAIL_SITESTORE_STORE_ACTIVE_DESCRIPTION";"This is the email that gets sent to a member when their Showroom is activated."
"_EMAIL_SITESTORE_STORE_ACTIVE_SUBJECT";"Your Showroom: [store_title] is now active."
"_EMAIL_SITESTORE_STORE_ACTIVE_BODY";"[header]

Thank you for creating your Showroom on [site_title]! Your Showroom is now active.

[store_title]
[store_description]

To visit this Showroom, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]"
"_EMAIL_SITESTORE_STORE_CANCELLED_TITLE";"Showroom Cancelled"
"_EMAIL_SITESTORE_STORE_CANCELLED_DESCRIPTION";"This is the email that gets sent to a member when their Showroom is cancelled."
"_EMAIL_SITESTORE_STORE_CANCELLED_SUBJECT";"Your Showroom: [store_title] has been cancelled."
"_EMAIL_SITESTORE_STORE_CANCELLED_BODY";"[header]

Your Showroom: [store_title_with_link] has been cancelled.

To visit this Showroom, click on the link below, or copy-paste it in your browser:
[object_link]

If your Showroom required to be renewed, then you may do so from its dashboard.

[footer]"
"_EMAIL_SITESTORE_STORE_EXPIRED_TITLE";"Showroom Expired: (for free packages)"
"_EMAIL_SITESTORE_STORE_EXPIRED_DESCRIPTION";"This is the email that gets sent to a member when their Showroom belonging to a free package expires."
"_EMAIL_SITESTORE_STORE_EXPIRED_SUBJECT";"Your Showroom: [store_title] has expired."
"_EMAIL_SITESTORE_STORE_EXPIRED_BODY";"[header]


Your Showroom: [store_title_with_link] has expired. It has reached the limit of its package.


To visit this Showroom, click on the link below, or copy-paste it in your browser:
[object_link]


[footer]"
"_EMAIL_SITESTORE_STORE_RENEW_TITLE";"Showroom Expired: (for paid packages)"
"_EMAIL_SITESTORE_STORE_RENEW_DESCRIPTION";"This is the email that gets sent to a member when their Showroom belonging to a paid package expires."
"_EMAIL_SITESTORE_STORE_RENEW_SUBJECT";"Your Showroom: [store_title] has expired and needs to be renewed."
"_EMAIL_SITESTORE_STORE_RENEW_BODY";"[header]

Your Showroom: [store_title_with_link] has expired. It has reached the limit of its package. You may renew this Showroom from its dashboard.

To visit this Showroom, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]"
"_EMAIL_SITESTORE_STORE_OVERDUE_TITLE";"Showroom Overdue"
"_EMAIL_SITESTORE_STORE_OVERDUE_DESCRIPTION";"This is the email that gets sent to a member when their Showroom is overdue."
"_EMAIL_SITESTORE_STORE_OVERDUE_SUBJECT";"Your Showroom: [store_title] is overdue."
"_EMAIL_SITESTORE_STORE_OVERDUE_BODY";"[header]

Your Showroom: [store_title_with_link] is overdue because of a failed or missed payment.

To visit this Showroom, click on the link below, or copy-paste it in your browser:
[object_link]

To renew your Showroom, you may do so from its dashboard.

[footer]"
"_EMAIL_SITESTORE_STORE_PENDING_TITLE";"Showroom Activation Pending"
"_EMAIL_SITESTORE_STORE_PENDING_DESCRIPTION";"This is the email that gets sent to a member when their Showroom activation is pending."
"_EMAIL_SITESTORE_STORE_PENDING_SUBJECT";"Your Showroom activation is pending."
"_EMAIL_SITESTORE_STORE_PENDING_BODY";"[header]

Thank you for creating your Showroom on our social network! Your Showroom activation is pending, awaiting completion of the transaction. Your Showroom will be activated soon; we will notify you by email when it is ready.
Thank you for your patience.

[store_title]
[store_description]

[footer]"
"_EMAIL_SITESTORE_STORE_RECURRENCE_TITLE";"Showroom Payment Recurrence"
"_EMAIL_SITESTORE_STORE_RECURRENCE_DESCRIPTION";"This is the email that gets sent to a member when they are billed for a recurring payment."
"_EMAIL_SITESTORE_STORE_RECURRENCE_SUBJECT";"Your payment for your Showroom has been billed."
"_EMAIL_SITESTORE_STORE_RECURRENCE_BODY";"[header]

Your payment for your Showroom has been billed. You should receive an email from the
payment gateway regarding this charge. Thank you for subscribing to our social
network.

[store_title]
[store_description]

To visit this Showroom, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]"
"_EMAIL_SITESTORE_STORE_REFUNDED_TITLE";"Showroom Payment Refunded"
"_EMAIL_SITESTORE_STORE_REFUNDED_DESCRIPTION";"This is the email that gets sent to a member when their Showroom payment is refunded."
"_EMAIL_SITESTORE_STORE_REFUNDED_SUBJECT";"Your payment for your Showroom has been refunded."
"_EMAIL_SITESTORE_STORE_REFUNDED_BODY";"[header]

Your payment for your Showroom has been refunded.

[store_title]
[store_description]

[footer]"
"_EMAIL_SITESTORE_STORE_APPROVED_TITLE";"Showroom Approved"
"_EMAIL_SITESTORE_STORE_APPROVED_DESCRIPTION";"This is the email that gets sent to a member when their Showroom is approved."
"_EMAIL_SITESTORE_STORE_APPROVED_SUBJECT";"Your Showroom: [store_title] has been approved."
"_EMAIL_SITESTORE_STORE_APPROVED_BODY";"[header]

Thank you for creating your Showroom on our social network! Your Showroom has now been approved.

[store_title]
[store_description]

To visit this Showroom, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]"
"_EMAIL_SITESTORE_STORE_DISAPPROVED_TITLE";"Showroom Disapproved"
"_EMAIL_SITESTORE_STORE_DISAPPROVED_DESCRIPTION";"This is the email that gets sent to a member when their Showroom is disapproved."
"_EMAIL_SITESTORE_STORE_DISAPPROVED_SUBJECT";"Your Showroom: [store_title] has been disapproved."
"_EMAIL_SITESTORE_STORE_DISAPPROVED_BODY";"[header]

Your Showroom has been disapproved.

[store_title]
[store_description]

To visit this Showroom, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]"
"_EMAIL_SITESTORE_STORE_APPROVAL_PENDING_TITLE";"Showroom Approval Pending"
"_EMAIL_SITESTORE_STORE_APPROVAL_PENDING_DESCRIPTION";"This is the email that gets sent to a member when their Showroom is pending for approval."
"_EMAIL_SITESTORE_STORE_APPROVAL_PENDING_SUBJECT";"Your Showroom: [store_title] is in pending state and awaiting administrative approval."
"_EMAIL_SITESTORE_STORE_APPROVAL_PENDING_BODY";"[header]

Your Showroom is in pending state and awaiting administrative approval.

[store_title]
[store_description]

To visit this Showroom, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]"
"_EMAIL_SITESTORE_STORE_DECLINED_TITLE";"Showroom Declined"
"_EMAIL_SITESTORE_STORE_DECLINED_DESCRIPTION";"This is the email that gets sent to a member when their Showroom is declined."
"_EMAIL_SITESTORE_STORE_DECLINED_SUBJECT";"Your Showroom: [store_title] has been declined."
"_EMAIL_SITESTORE_STORE_DECLINED_BODY";"[header]

Your Showroom has been declined.

[store_title]
[store_description]

[footer]"
"_EMAIL_SITESTORE_CLAIM_APPROVED_EMAIL_TITLE";"Showroom Claim Approved"
"_EMAIL_SITESTORE_CLAIM_APPROVED_EMAIL_DESCRIPTION";"This is the email that goes to a member when their claim for a Showroom has been approved."
"_EMAIL_SITESTORE_CLAIM_APPROVED_EMAIL_SUBJECT";"Your claim for Showroom: [store_title] has been approved"
"_EMAIL_SITESTORE_CLAIM_APPROVED_EMAIL_BODY";"[header]

Congratulations! Your claim for the Showroom: [store_title_with_link] has been approved. You are now the owner of this Showroom.

To visit this Showroom, click on the link below, or copy-paste it in your browser:
[object_link]

You can manage the Showroom from its Dashboard.

[comments]

To see the status of the claims made by you for Showrooms, please visit:
[my_claim_Showrooms_link]

[footer]
"
"_EMAIL_SITESTORE_CLAIM_DECLINED_EMAIL_TITLE";"Showroom Claim Declined"
"_EMAIL_SITESTORE_CLAIM_DECLINED_EMAIL_DESCRIPTION";"This is the email that goes to a member when their claim for a Showroom has been declined."
"_EMAIL_SITESTORE_CLAIM_DECLINED_EMAIL_SUBJECT";"Your claim for Showroom: [store_title] has been declined"
"_EMAIL_SITESTORE_CLAIM_DECLINED_EMAIL_BODY";"[header]

Your claim for this Showroom: [store_title_with_link] has been declined.

To visit this Showroom, click on the link below, or copy-paste it in your browser:
[object_link]

[comments]

[footer]
"
"_EMAIL_SITESTORE_CLAIM_HOLDING_EMAIL_TITLE";"Showroom Claim Approval on Hold"
"_EMAIL_SITESTORE_CLAIM_HOLDING_EMAIL_DESCRIPTION";"This is the email that goes to a member when their claim for a Showroom has been put on hold for approval."
"_EMAIL_SITESTORE_CLAIM_HOLDING_EMAIL_SUBJECT";"Your claim for Showroom: [store_title] has been put on hold for approval"
"_EMAIL_SITESTORE_CLAIM_HOLDING_EMAIL_BODY";"[header]

Your claim for the Showroom: [store_title_with_link] has been put on hold for approval.

To visit this Showroom, click on the link below, or copy-paste it in your browser:
[object_link]

[comments]

[footer]
"
"TERM OF CLAIM";"Terms of claiming a Showroom"
"TERM OF CLAIM FOR STORE POINT 1";"By clicking the save"" button when a Showroom, you hereby assert that you are either the owner,manager,employee or associate of the Showroom,service or interest and have the express authority to own and/or manage of the Showroom of this site."""
"TERM OF CLAIM FOR STORE POINT 2";"The website admin reserves the right to revoke or transfer ownership of this Showroom for any reason including, but not limited to, inaccurate ownership identification, misrepresentation of Showroom information and abusive spamming activity."
"_EMAIL_SITESTORE_MANAGEADMIN_EMAIL_TITLE";"Showroom ""Manage Admin"" Email"
"_EMAIL_SITESTORE_MANAGEADMIN_EMAIL_DESCRIPTION";"This email is sent to the one who becomes an administrator of a Showroom."
"_EMAIL_SITESTORE_MANAGEADMIN_EMAIL_SUBJECT";"You have become administrator of a Showroom."
"_EMAIL_SITESTORE_MANAGEADMIN_EMAIL_BODY";"[header]

Congratulations! [sender] has made you an administrator of this Showroom: [store_title_with_link].

To visit this Showroom, click on the link below, or copy-paste it in your browser:
[store_url]

You can manage the Showroom from its Dashboard.

[footer]"
"_EMAIL_SITESTORE_CHANGEOWNER_EMAIL_TITLE";"Showroom Owner Changed"
"_EMAIL_SITESTORE_CHANGEOWNER_EMAIL_DESCRIPTION";"This is the email that goes to a member when owner of their Showroom has been changed."
"_EMAIL_SITESTORE_CHANGEOWNER_EMAIL_SUBJECT";"Owner of the Showroom: [store_title] has been changed."
"_EMAIL_SITESTORE_CHANGEOWNER_EMAIL_BODY";"[header]

The owner of the Showroom: [store_title_with_link] has been changed. You are now no more the owner of this Showroom. All ownership rights for this Showroom have been transferred to the new owner.

For any queries or comments, you may contact us here: [site_contact_us_link].

To visit this Showroom, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]
"
"_EMAIL_SITESTORE_BECOMEOWNER_EMAIL_TITLE";"Showroom Ownership Given"
"_EMAIL_SITESTORE_BECOMEOWNER_EMAIL_DESCRIPTION";"This email goes to the new owner of the Showroom when owner of a Showroom is changed."
"_EMAIL_SITESTORE_BECOMEOWNER_EMAIL_SUBJECT";"You are now the owner of the Showroom: [store_title]."
"_EMAIL_SITESTORE_BECOMEOWNER_EMAIL_BODY";"[header]

You are now the owner of the Showroom: [store_title_with_link]. All ownership rights for this Showroom have been provided to you.

For any queries or comments, you may contact us here: [site_contact_us_link].

To visit this Showroom, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]
"
"lock";"lock"
"unlock";"unlock"
"Unlock this widget and make it available to Store Owners for arranging, adding on, or removing from their Store Profile.";"Unlock this widget and make it available to Showroom Owners for arranging, adding on, or removing from their Showroom Profile."
"If you have NOT placed this widget in the Store Profile Placement area and you ""lock"" it, then this widget will NOT be available to Store Owners for placing on the Store. If you have placed this widget in the Store Profile Placement area and you ""lock"" it, then Store Owners will NOT be able to remove it or drag-n-drop it.";"If you have NOT placed this widget in the Showroom Profile Placement area and you ""lock"" it, then this widget will NOT be available to Showroom Owners for placing on the Showroom. If you have placed this widget in the Showroom Profile Placement area and you ""lock"" it, then Showroom Owners will NOT be able to remove it or drag-n-drop it."
"Store Profile Layout DESCRIPTION";"From the Global Settings of this plugin, you
have allowed Showroom Owners to be able to arrange, add and remove widgets from the
profile of their Showrooms. However, you still have control over what Showroom Profile
widgets should be available to Showroom Owners, which widgets they should NOT be
able to remove, and which ones they should be able to remove. If you have added
a new plugin on your site, and would like its widget to be shown on Showroom
Profiles and NOT be removable by Showroom Owners, then you can drop that widget into
Showroom Profile below. If you would like to show an announcement, or any HTML
content on Showroom Profiles, and NOT allow Showroom Owners to be able to remove it,
then you can do that as well below. If there is a widget coming on profiles of
Showrooms of your site that you want to be removed, then you can do that below; and
many more such actions.
If you drop a widget from a different plugin into the Showroom Profile, then Showroom
Owners will NOT be able to remove it or drag-n-drop it. If you ""lock"" a Showroom
Profile widget that has NOT been placed in the Showroom Profile Placement area, then
that widget will NOT be available to Showroom Owners for placing on the Showroom. If you
""lock"" a Showroom Profile widget that has been placed in the Showroom Profile
Placement area, then Showroom Owners will NOT be able to remove it or drag-n-drop
it.<br />NOTE: If you have placed ""Ad Campaign"" or ""Html Block"" on this Showroom, then
once you click on the ""Save Changes"" link, you will neither be able to change
the position nor edit that block. So, if you want to do so, you will have to
remove that block from the Showroom and save changes and then place it again from
the Available Blocks."
"PARENT_KEY_NOT_VALID";"Please check your License key for Directory/Showrooms Plugin. You might be using an uncorrect license key for this Plugin."
"Store Offers List Store";"Showroom Offers List Showrooms"
"How many ads will be shown on store offers list store?";"How many ads will be shown on Showroom offers list Showroom?"
"Show in Updates Tab";"Show in Updates Tab"
"Only Open Stores";"Only Open Showrooms"
"Only Closed Stores";"Only Closed Showrooms"
"This is a free store package. One does not need to pay for creating a store of this package.";"This is a free Showroom package. One does not need to pay for creating a Showroom of this package."
"Free Store Package";"Free Showroom Package"
"Which activities should be shown in Updates Tab ?";"Which activities should be shown in Updates Tab ?"
"All Posts";"All Posts"
"Only Posts By Store";"Only Posts By Showroom"
"ADMIN_ACTIVITY_TYPE_SITESTORE_LIKE_VIEWER";"When member like the Showroom."
"_ACTIVITY_ACTIONTYPE_SITESTORE_LIKE_VIEWER";"When I likes the Showroom"
"ITEM_TYPE_SITESTORE_ALBUM";"Showroom Albums"
"Do you want to show Ads on paid Stores ? (Setting this ""No"" will not display the Ads on Stores which belong to paid packages.)";"Do you want to show Ads on paid Showrooms ? (Setting this ""No"" will not display the Ads on Showrooms which belong to paid packages.)"
"Who may upload music for this store?";"Who may upload music for this Showroom?"
"Music Creation Privacy";"Music Creation Privacy"
"{item:$subject} changed their Store profile photo.";"{item:$subject} changed their Showroom profile photo."
"_ACTIVITY_ACTIONTYPE_SITESTORE_PROFILE_PHOTO_UPDATE";"When Showroom Admin change their Showroom profile photo as User."
"ADMIN_ACTIVITY_TYPE_SITESTORE_PROFILE_PHOTO_UPDATE";"When Showroom Admin change their Showroom profile photo as User."
"Display Community Ads in stores of this package at various positions as configured in Ad Settings. (With this setting, you can choose to grant privilege of being ad-free to stores of special / paid packages.)";"Display Community Ads in Showrooms of this package at various positions as configured in Ad Settings. (With this setting, you can choose to grant privilege of being ad-free to Showrooms of special / paid packages.)"
"You cannot configure this setting for packages because you have disabled Community Ads display for stores using ""Community Ads in this plugin"" field in Ad Settings.";"You cannot configure this setting for packages because you have disabled Community Ads display for Showrooms using ""Community Ads in this plugin"" field in Ad Settings."
"AJAX Search for Stores";"AJAX Search for Showrooms"
"This widget searches over Store Titles via AJAX. The search interface is similar to Facebook search.";"This widget searches over Showroom Titles via AJAX. The search interface is similar to Facebook search."
"Community Ads Display";"Community Ads Display"
"Alphabetic Filtering of Stores";"Alphabetic Filtering of Showrooms"
"This widget enables users to alphabetically filter the directory items / stores on your site by clicking on the desired alphabet. The widget shows all the alphabets for filtering.";"This widget enables users to alphabetically filter the directory items / Showrooms on your site by clicking on the desired alphabet. The widget shows all the alphabets for filtering."
"Ads Display";"Ads Display"
"There is no anyone extension available on this site.";"There is no anyone extension available on this site."
"LANG_FLAG_A";"A"
"LANG_FLAG_B";"B"
"LANG_FLAG_C";"C"
"LANG_FLAG_D";"D"
"LANG_FLAG_E";"E"
"LANG_FLAG_F";"F"
"LANG_FLAG_G";"G"
"LANG_FLAG_H";"H"
"LANG_FLAG_I";"I"
"LANG_FLAG_J";"J"
"LANG_FLAG_K";"K"
"LANG_FLAG_L";"L"
"LANG_FLAG_M";"M"
"LANG_FLAG_N";"N"
"LANG_FLAG_O";"O"
"LANG_FLAG_P";"P"
"LANG_FLAG_Q";"Q"
"LANG_FLAG_R";"R"
"LANG_FLAG_S";"S"
"LANG_FLAG_T";"T"
"LANG_FLAG_U";"U"
"LANG_FLAG_V";"V"
"LANG_FLAG_W";"W"
"LANG_FLAG_X";"X"
"LANG_FLAG_Y";"Y"
"LANG_FLAG_Z";"Z"
"LANG_FLAG_All";"All"
"Networks Selection";"Networks Selection"
"Select the networks, members of which should be able to see your store. (Press Ctrl and click to select multiple networks. You can also choose to make your store viewable to everyone.)";"Select the networks, members of which should be able to see your Showroom. (Press Ctrl and click to select multiple networks. You can also choose to make your Showroom viewable to everyone.)"
"Network selection for Stores";"Network selection for Showrooms"
"You have chosen that viewers should only see Stores of their network(s). How should a Store's network(s) be decided?";"You have chosen that viewers should only see Showrooms of their network(s). How should a Showroom's network(s) be decided?"
"Store Owner's network(s) [If selected, only members belonging to store owner's network(s) will see the Stores.]";"Showroom Owner's network(s) [If selected, only members belonging to Showroom owner's network(s) will see the Showrooms.]"
"Selected Networks [If selected, store admins will be able to choose the networks of which members will be able to see their Store.]";"Selected Networks [If selected, Showroom admins will be able to choose the networks of which members will be able to see their Showroom.]"
"Activity Feed Settings";"Activity Feed Settings"
"3%s Level Category:";"3%s Level Category:"
"3%s Level Category";"3%s Level Category"
"Do you want to show all the categories, subcategories and 3rd level categories which are not belongs to any stores.";"Do you want to show all the categories, subcategories and 3rd level categories which are not belongs to any Showrooms."
"Are you sure you want to delete this 3rd level category?";"Are you sure you want to delete this 3rd level category?"
"Slug URL";"Slug URL"
"Do you want to replace blank-space in your category name by ""-"" in URL?";"Do you want to replace blank-space in your category name by ""-"" in URL?"
"Do you want to show 3rd level category to the viewer? (This setting will depend on above setting.)";"Do you want to show 3rd level category to the viewer? (This setting will depend on above setting.)"
"Do you want to show sub-categories in this widget?";"Do you want to show sub-categories in this widget?"
"Do you want all the categories, sub-categories and 3rd level categories to be shown to the user even if they have 0 stores in them?";"Do you want all the categories, sub-categories and 3rd level categories to be shown to the user even if they have 0 Showrooms in them?"
"Below you have been given the options to customize the Activity Feeds related to Stores. These customizations in Activity Feeds need some mandatory changes to be done in the activity feed file which are specified below. (With every setting below, we have provided as the first option that you can replace the Core ""Activity Feed"" widget with the SocialEngineAddOns ""Activity Feed"" widget and then you will not have to modify the core activity files. If that option is not chosen by you, you would need to either automatically or manually modify the files by choosing one of the other 2 options.) Once you configure all the settings below, click on ""Save Changes"" to save them.";"Below you have been given the options to customize the Activity Feeds related to Showrooms. These customizations in Activity Feeds need some mandatory changes to be done in the activity feed file which are specified below. (With every setting below, we have provided as the first option that you can replace the Core ""Activity Feed"
"Store Admin\'s Photo and Name";"Showroom Admin\'s Photo and Name"
"Store\'s Photo and Title";"Showroom\'s Photo and Title"
"Activity Feeds of Stores Liked";"Activity Feeds of Showrooms Liked"
"Do you want users to receive the activity feeds of Stores that they have liked on their homestore?";"Do you want users to receive the activity feeds of Showrooms that they have liked on their homeShowroom?"
"Feed Content on Store Profile";"Feed Content on Showroom Profile"
"You have selected ""My Friends & Networks"" or ""My Friends"" option for the ""Feed Content"" field in Activity Feed Settings (""Settings"" > ""Activity Feed Settings""). Do you want the Feed Content on Store Profiles to be unaffected by that setting, such that all activity feeds be shown on Store Profiles irrespective of the setting there?";"You have selected ""My Friends & Networks"" or ""My Friends"" option for the ""Feed Content"" field in Activity Feed Settings (""Settings"" > ""Activity Feed Settings""). Do you want the Feed Content on Showroom Profiles to be unaffected by that setting, such that all activity feeds be shown on Showroom Profiles irrespective of the setting there?"
"If you also want to show Store's photo and title in Store Profile activity feeds for posts from Store's status sharing box in Updates tab, then follow ANY ONE of the below 3 options. (Even if you do not follow any of the below options, store activity feeds other than status posts will be displayed with Store's photo and title.)";"If you also want to show Showroom's photo and title in Showroom Profile activity feeds for posts from Showroom's status sharing box in Updates tab, then follow ANY ONE of the below 3 options. (Even if you do not follow any of the below options, Showroom activity feeds other than status posts will be displayed with Showroom's photo and title.)"
"Activity Feeds for Store Status posts";"Activity Feeds for Showroom Status posts"
"Use ""SocialEngineAddOns Activity Feed"" widget instead of core ""Activity Feed"" widget. (For this, go to ""Layout"" > ""Layout Editor"" > ""Store Profile"" and replace the already placed ""Activity Feed"" widget with ""SocialEngineAddOns Activity Feed"" widget.)";"Use ""SocialEngineAddOns Activity Feed"" widget instead of core ""Activity Feed"" widget. (For this, go to ""Layout"" > ""Layout Editor"" > ""Showroom Profile"" and replace the already placed ""Activity Feed"" widget with ""SocialEngineAddOns Activity Feed"" widget.)"
" to automatically overwrite the file: ""/application/modules/Activity/controllers/IndexController.php"" with the required minor modification. (If you do not want automatic overwriting of file, you can choose the 3rd option for manual changes which also shows the minor modification required.";" to automatically overwrite the file: ""/application/modules/Activity/controllers/IndexController.php"" with the required minor modification. (If you do not want automatic overwriting of file, you can choose the 3rd option for manual changes which also shows the minor modification required."
"If you do not want to follow any of the above two options, then you can manually do the minor code modification. (Please see below the steps that you need to follow.)";"If you do not want to follow any of the above two options, then you can manually do the minor code modification. (Please see below the steps that you need to follow.)"
"Core Activity Feed widget is placed on the Store Profile store. So, either replace it with SocialEngineAddOns Activity Feed widget there or follow one of the remaining 2 options above.";"Core Activity Feed widget is placed on the Showroom Profile Showroom. So, either replace it with SocialEngineAddOns Activity Feed widget there or follow one of the remaining 2 options above."
"You have already placed SocialEngineAddOns Activity Feed widget on Store Profile store. Now, if you want to replace it with core Activity Feed widget, you can do so and then you would have to follow one of the remaining 2 options above.";"You have already placed SocialEngineAddOns Activity Feed widget on Showroom Profile Showroom. Now, if you want to replace it with core Activity Feed widget, you can do so and then you would have to follow one of the remaining 2 options above."
"You have enabled the ""Edit Store Layout"" field from Global Settings, allowing Store Admins to control store layout. %s to replace core ""Activity Feed"" widget with ""SocialEngineAddOns Activity Feed"" widget for existing Stores on your website.";"You have enabled the ""Edit Showroom Layout"" field from Global Settings, allowing Showroom Admins to control Showroom layout. %s to replace core ""Activity Feed"" widget with ""SocialEngineAddOns Activity Feed"" widget for existing Showrooms on your website."
"No changes have been done in the activity feed file for the above customization.";"No changes have been done in the activity feed file for the above customization."
"The required changes have been successfully done for showing Store photo and title in activity feeds for Store status posts.";"The required changes have been successfully done for showing Showroom photo and title in activity feeds for Showroom status posts."
"Please follow the steps below to manually do these changes in the file:";"Please follow the steps below to manually do these changes in the file:"
"1) Open the file with path: ""/application/modules/Activity/controllers/IndexController.php"".";"1) Open the file with path: ""/application/modules/Activity/controllers/IndexController.php""."
"2) Search for the block of code given below in this file at line no. 147 (approx) :";"2) Search for the block of code given below in this file at line no. 147 (approx) :"
"3) Now, place the below block of code just above the code mentioned above:";"3) Now, place the below block of code just above the code mentioned above:"
"Target File does not exist.";"Target File does not exist."
"Remove from Plugins dropdown";"Remove from Plugins dropdown"
"Add to the Plugins dropdown";"Add to the Plugins dropdown"
"Add/Remove from Plugins dropdown";"Add/Remove from Plugins dropdown"
"ADMIN_ACTIVITY_TYPE_SITESTORE_POST_SELF";"When Showroom admin(subject) posts a status update on Showroom profile(object)."
"ADMIN_ACTIVITY_TYPE_SITESTORE_POST";"When user(subject) posts a status update on Showroom profile(object)."
"_ACTIVITY_ACTIONTYPE_SITESTORE_POST_SELF";"Posting a status update on Showroom profile being its Showroom admin."
"_ACTIVITY_ACTIONTYPE_SITESTORE_POST";"Posting a status update on Showroom profile being a normal member."
"We have moved these ""Widget Settings"" to ""Layout Editor"". You can change the desired settings of the respective widgets from ""Layout Editor"" by clicking on the ""edit"" link.";"We have moved these ""Widget Settings"" to ""Layout Editor"". You can change the desired settings of the respective widgets from ""Layout Editor"" by clicking on the ""edit"" link."
"Email ID";"Email ID"
"Email Me";"Email Me"
"Visit Website";"Visit Website"
"Store Profile Contact Details";"Showroom Profile Contact Details"
"Displays the Contact Details of a store. This widget should be placed on the Store Profile.";"Displays the Contact Details of a Showroom. This widget should be placed on the Showroom Profile."
"Displays the Contact Details of your Store.";"Displays the Contact Details of your Showroom."
"{item:$object} {body:$body}";"'{item:$object} {body:$body}"
"_ACTIVITY_ACTIONTYPE_SITESTORE_ADMIN_PROFILE_PHOTO";"When Showroom Admin change their Showroom profile photo as Showroom."
"ADMIN_ACTIVITY_TYPE_SITESTORE_ADMIN_PROFILE_PHOTO";"When Showroom Admin change their Showroom profile photo as Showroom."
"{item:$object} changed their Store profile photo.";"{item:$object} changed their Showroom profile photo."
"I have read and agree to the <a href='javascript:void(0);' onclick=window.open('%s','mywindow','width=500,height=500')>terms of service</a>.";"I have read and agree to the <a href='javascript:void(0);' onclick=window.open('%s','mywindow','width=500,height=500')>terms of service</a>."
"Music";"Music"
"Show in ""Other available Packages"" List";"Show in ""Other available Packages"" List"
"Yes, enable custom CSS styles.";"Yes, enable custom CSS styles."
"No, disable custom CSS styles.";"No, disable custom CSS styles."
"Email Body Outer Background";"Email Body Outer Background"
"Select the background color of the outer area in the email around the mail content. (Click on the rainbow below to choose your color.)";"Select the background color of the outer area in the email around the mail content. (Click on the rainbow below to choose your color.)"
"Total Playlist";"Total Playlist"
"Total Songs";"Total Songs"
"Store Block Placement";"Showroom Block Placement"
"Edit Columns";"Edit Columns"
"Store Profile Linked Stores";"Showroom Profile Linked Showrooms"
"Do you want to show the Advertise your Store widget on Store Profile in the Info widget? (This widget will only be visible to store admins and it displays a catchy phrase to tempt them to create an Ad for their Store. It also has a link to Create an Ad. Click %s to preview this widget.)";"Do you want to show the Advertise your Showroom widget on Showroom Profile in the Info widget? (This widget will only be visible to Showroom admins and it displays a catchy phrase to tempt them to create an Ad for their Showroom. It also has a link to Create an Ad. Click %s to preview this widget.)"
"Do you want to show a Sample Ad of a Store on its profile in the Info widget? (This widget will only be visible to store admins and will tempt them to create an Ad for their Store. Click %s to preview this widget.)";"Do you want to show a Sample Ad of a Showroom on its profile in the Info widget? (This widget will only be visible to Showroom admins and will tempt them to create an Ad for their Showroom. Click %s to preview this widget.)"
"Do you want to show community ads in the various positions available in this plugin? (Below, you will be able to choose for every individual position. If you do not want to show ads in a particular position, then please enter the value ""0"" for it below.). If you have enabled Packages for Stores from Global Settings, then for each package, you can configure if community ads display should be enabled on their Stores (You can use this to give extra privileges to Stores of special / paid packages by making them free of ads display.).";"Do you want to show community ads in the various positions available in this plugin? (Below, you will be able to choose for every individual position. If you do not want to show ads in a particular position, then please enter the value ""0"" for it below.). If you have enabled Packages for Showrooms from Global Settings, then for each package, you can configure if community ads display should be enabled on their Showrooms (You can use this to give extra privileges 
to Showrooms of special / 
paid packages by making them free of ads display.)."
"Store Profile Music Widget";"Showroom Profile Music Widget"
"Store Music View Store";"Showroom Music View Showroom"
"Store Music Create Store";"Showroom Music Create Showroom"
"Store Music Edit Store";"Showroom Music Edit Showroom"
"How many ads will be shown in store profile music widget?";"How many ads will be shown in Showroom profile music widget?"
"How many ads will be shown on a store music view store?";"How many ads will be shown on a Showroom music view Showroom?"
"How many ads will be shown on a store music create store?";"How many ads will be shown on a Showroom music create Showroom?"
