"Visit your Insights Store";"Visit your Insights Showroom"
"How many directory items / stores will be shown in the recently viewed stores widget in image view (value can not be empty or zero) ?";"How many directory items / Showrooms will be shown in the recently viewed Showrooms widget in image view (value can not be empty or zero) ?"
"Recently Viewed By Friends Widget";"Recently Viewed By Friends Widget"
"How many directory items / stores will be shown in the recently viewed by friends widget (value can not be empty or zero) ?";"How many directory items / Showrooms will be shown in the recently viewed by friends widget (value can not be empty or zero) ?"
"Store Profile Likes Widget";"Showroom Profile Likes Widget"
"How many users will be shown in the store profile likes widget (value can not be empty or zero) ?";"How many users will be shown in the Showroom profile likes widget (value can not be empty or zero) ?"
"Most Discussed Stores Widget";"Most Discussed Showrooms Widget"
"How many directory items / stores will be shown in the most discussed Stores widget (value can not be empty or zero) ?";"How many directory items / Showrooms will be shown in the most discussed Showrooms widget (value can not be empty or zero) ?"
"Popular Locations Widget";"Popular Locations Widget"
"How many locations will be shown in the popular locations widget (value can not be empty or zero) ?";"How many locations will be shown in the popular locations widget (value can not be empty or zero) ?"
"Store Profile Apps Links Widget";"Showroom Profile Apps Links Widget"
"How many links will be shown in the store profile apps links widget (value can not be empty or zero) ?";"How many links will be shown in the Showroom profile apps links widget (value can not be empty or zero) ?"
"Take an Action";"Take an Action"
"Please take an appropriate action for this store:";"Please take an appropriate action for this Showroom:"
"Save";"Save"
"After selecting a profile type, if you click on ""Yes"", then the already created stores of this category with a different profile type will be changed to this new profile type. If you click on ""No"", then this mapping will only apply on the stores that will be created after saving this mapping.";"After selecting a profile type, if you click on ""Yes"", then the already created Showrooms of this category with a different profile type will be changed to this new profile type. If you click on ""No"", then this mapping will only apply on the Showrooms that will be created after saving this mapping."
"Miles";"Miles"
"Kilometers";"Kilometers"
"These settings affect all members in your community.";"These settings affect all members in your community."
"Change Owner";"Change Owner"
"Owner";"Owner"
"Change Category";"Change Category"
"Add Category";"Add Category"
"Edit Category";"Edit Category"
"Search Box Settings";"Search Box Settings"
"This store lists all the fields which will be displayed to the users in the search form widget at ""Stores Home"", ""Browse Stores"" and ""My Stores"". Below, you can set the sequence of items in the order in which they should appear to users in the search form. To do so, drag-and-drop the items vertically and click on ""Save Order"" to save the sequence. You can also hide/display the individual fields in this search box.";"This Showroom lists all the fields which will be displayed to the users in the search form widget at ""Showrooms Home"", ""Browse Showrooms"" and ""My Showrooms"". Below, you can set the sequence of items in the order in which they should appear to users in the search form. To do so, drag-and-drop the items vertically and click on ""Save Order"" to save the sequence. You can also hide/display the individual fields in this search box."
"Item Label";"Item Label"
"Hide / Display";"Hide / Display"
