"Search for...";"Search products you are looking for.."
"Edit Member Title";"Edit Consumer Title"
"Promote Member";"Promote Consumer"
"Are you sure you want to promote this member to officer?";"Are you sure you want to promote this consumer to officer?"
"Are you sure you want to remove this member from the group?";"Are you sure you want to remove this consumer from the group?"
"Request Group Membership";"Request Group Membership"
"Would you like to request membership in this group?";"Would you like to request membership in this group?"
"Let members invite others?";"Let consumers invite others?"
"Yes, members can invite other people.";"Yes, consumers can invite other people."
"Approve members?";"Approve consumers?"
"New members can join immediately.";"New consumers can join immediately."
"New members must be approved.";"New consumers must be approved."
"Registered Members";"Registered Members"
"Members, Officers, and Owner";"Consumers, Officers, and Owner"
"Members, Officers, and Owner Only";"Consumers, Officers, and Owner Only"
"Invite Members";"Invite Consumers"
"Members";"Consumers"
"This group has %1$s member.";"This group has %1$s consumer.";"This group has %1$s consumers."
"This group has %1$s member that matched the query ""%2$s"".";"This group has %1$s consumer that matched the query ""%2$s"".";"This group has %1$s consumers that matched the query ""%2$s""."
"View all approved members";"View all approved consumers"
"This group has %s member waiting approval or waiting for a invite response.";"This group has %s consumer waiting approval or waiting for a invite response."
"Send me notifications when other members reply to this topic.";"Send me notifications when other consumers reply to this topic."
"ACTIVITY_TYPE_GROUP_JOIN";"When a new consumer joins a group."
"GROUP_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the consumer level you want to modify, then adjust the settings for that level below."
"Yes, allow members to view all groups, even private ones.";"Yes, allow consumerS to view all groups, even private ones."
"Yes, allow  members to edit their own groups.";"Yes, allow  consumers to edit their own groups."
"Yes, allow members to edit everyone's groups.";"Yes, allow consumers to edit everyone's groups."
"GROUP_FORM_ADMIN_LEVEL_AUTHVIEW_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can see their group. If you do not check any options, settings will default to the last saved configuration. If you select only one option, consumers of this level will not have a choice."
"GROUP_FORM_ADMIN_LEVEL_AUTHCOMMENT_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can post to their group discussions. If you do not check any options, settings will default to the last saved configuration. If you select only one option, consumers of this level will not have a choice."
"GROUP_FORM_ADMIN_LEVEL_AUTHPHOTO_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can upload photos to their groups. If you do not check any options, settings will default to the last saved configuration. If you select only one option, consumers of this level will not have a choice."
"GROUP_FORM_ADMIN_LEVEL_AUTHEVENT_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can create events in their groups. If you do not check any options, settings will default to the last saved configuration. If you select only one option, consumers of this level will not have a choice."
"Search Members";"Search ConsumerS"
"All Group Members";"All Group Consumers"
"Do you want to let members delete groups? If set to no, some other settings on this page may not apply.";"Do you want to let consumers delete groups? If set to no, some other settings on this page may not apply."
"Yes, allow members to delete their own groups.";"Yes, allow consumers to delete their own groups."
"No, do not allow members to delete their groups.";"No, do not allow consumers to delete their groups."
"Do you want to let members of this level comment on groups?";"Do you want to let consumers of this level comment on groups?"
"Yes, allow members to comment on groups.";"Yes, allow consumers to comment on groups."
"Registered Members";"Registered Consumers"
"GROUP_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per consumer level basis. Start by selecting the consumer level you want to modify, then adjust the settings for that level below."
"No, do not allow members to comment on groups.";"No, do not allow consumers to comment on groups."
"Group Profile Members";"Group Profile Consumers"
"Yes, members can use BBCode tags.";"Yes, Consumers can use BBCode tags."
"No, do not let members use BBCode.";"No, do not let consumers use BBCode."
"Yes, members can use HTML in their posts.";"Yes, consumers can use HTML in their posts."
"_EMAIL_NOTIFY_GROUP_ACCEPTED_DESCRIPTION";"This email is sent to the consumer when they are approved to join a group."
"_EMAIL_NOTIFY_GROUP_APPROVE_DESCRIPTION";"This email is sent to the consumer when someone requests to join their group."
"_EMAIL_NOTIFY_GROUP_DISCUSSION_REPLY_DESCRIPTION";"This email is sent to the consumer when people reply to discussion topics that the member created."
"_EMAIL_NOTIFY_GROUP_DISCUSSION_REPLY_DESCRIPTION";"This email is sent to the consumer when people reply to discussion topics that the consumer created."
"_EMAIL_NOTIFY_GROUP_DISCUSSION_REPLY_SUBJECT";"A consumer has posted a reply to your topic ""[object_title]"" in the group ""[object_parent_title]"""
"_EMAIL_NOTIFY_GROUP_DISCUSSION_RESPONSE_DESCRIPTION";"This email is sent to the consumer when people reply to discussion topics that the consumer replied to."
"_EMAIL_NOTIFY_GROUP_DISCUSSION_RESPONSE_SUBJECT";"A consumer has posted a reply to the topic ""[object_title]"" you replied to in the group ""[object_parent_title]"""
"_EMAIL_NOTIFY_GROUP_INVITE_DESCRIPTION";"This email is sent to the consumer when they are invited to a group."
"_EMAIL_NOTIFY_GROUP_PROMOTE_DESCRIPTION";"This email is sent when a consumer is promoted to officer in a group."
"Message Members";"Message Consumers"
"There are no members";"There are no Consumers"
"HECORE_FRIEND_WIDGET_FORM_ADMIN_LEVEL_PRIVACY_DESCRIPTION";"Which options will be available for your network members in friends widget settings box?"
"hecore_Featured Members";"Featured Consumers"
"Featured Carousel";"Featured Vonsumers Carousel"
"Member Levels";"Consumer Levels"
"member";"consumer";"consumers"
"Remember Me";"Remember Me"
"_CORE_HELP_CONTACT_MESSAGE";"Name: %1$s
Email: %2$s
Member Info: (%3$s - %4$s)
IP: %5$s
User-agent: %6$s
Timestamp: %7$s
Message:
    %8$s"
"Member Level Settings";"Consumer Level Settings"
"Select Member Level";"Select Consumer Level"
"CORE_FORM_ADMINS_LAYOUT_CONTENT_PAGE_LEVELS_DESCRIPTION";"Specify which consumer levels will be able to view this page. To show this page to all member levels, leave them all selected. If you want this page to be hidden from none registered consumers, please make sure you select deselect the public consumer level. Use CTRL-click to select or deselect multiple levels."
"CORE_FORM_ADMINS_ADS_CREATE_ADLEVELS_DESCRIPTION";"Specify which consumer levels will be shown advertisements from this campaign. To show this ad campaign to all consumer levels, leave them all selected. Use CTRL-click to select or deselect multiple levels."
